VRT名称,VFG名称,CCC,旧件名称,故障描述,故障原因,故障模式
智能化,驾驶辅助,并线辅助系统问题,并线辅助控制器总成（左）,并线辅助功能不能用,检查属于并线辅助控制器总成（右），并线辅助控制器总成（左）工艺不良造成,并线辅助功能失效
智能化,驾驶辅助,并线辅助系统问题,侧向毫米波雷达总成,并线辅助失效,侧向毫米波雷达总成故障,并线辅助功能失效
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,玻璃角度调节不了,经检查发现外后视镜总成（右）（合成件）调节失效导致玻璃角度调节不了。,折叠问题
智能化,驾驶辅助,自适应巡航问题,无零件,拆装中控扶手箱，智驾控制域升级,拆装中控扶手箱，智驾控制域升级,其它问题
智能化,驾驶辅助,车道辅助系统问题,前视摄像头总成,车道保持功能失效,经检查前视摄像头总成故障导致车道保持无法正常使用,ACC/AEB/LKA失效
智能化,驾驶辅助,人脸识别/车内拍照摄像头问题,前视摄像头总成,车道偏离故障。,检查确认为前视摄像头内部故障导致车道偏离系统故障。,ACC/AEB/LKA失效
智能化,驾驶辅助,并线辅助系统问题,并线辅助控制器总成（左）,车后视镜灯一直亮,经检查发现该车并线辅助传感器损坏，造成上述故障。,并线辅助功能失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,车机倒车影像绿屏,经检查全景后摄像头总成故障，导致车机倒车影像绿屏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,车机绿屏，经检查是右后视镜问题;,经检查是右后视镜问题,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,自适应巡航问题,无零件,车机屏幕自适应巡航和碰撞预警故障灯亮,智能驾驶控制器软件版本过低,其它问题
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,车辆2025.5.28反映自动泊车用不了。,故障码“B192202 左后角传感器信号线断路”，检查线路无异常，鉴定左后泊车雷达性能故障导致。,超声波雷达失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,车辆360影响画面模糊不清。,全景前摄像头总成内部异常，导致360影响画面模糊清。,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,车辆360影像不显示,经维修技师检查车辆自动泊车摄像头内部故障，需要更换，更换后故障解决,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,车辆360影像不显示。,经检查后发现该车自动泊车摄像头总成内部线路故障导致。,全景模糊
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,车辆ACC巡航不可用,经维修技师检测后发现是适应巡航控制器故障,ACC/AEB/LKA失效
智能化,驾驶辅助,自适应巡航问题,前向毫米波雷达总成,车辆报故障,经检查发现前向毫米波雷达控制器总成功能失效导致无法匹配正常使用,ACC/AEB/LKA失效
智能化,驾驶辅助,自动泊车系统问题,自动泊车前传感器总成,车辆打不着电瓶总是馈电，自动泊车前传感器失效。,经过维修技师检查发现，由于自动泊车前传感器总成内部故障，导致自动泊车前传感器总成失效，由于蓄电池总成馈电电压不足导致故障。,超声波雷达失效
智能化,驾驶辅助,倒车/全景影像系统问题,倒车摄像头总成,车辆倒车影像不显示,经检查为倒车摄像头总成内部故障所导致车辆倒车影像不显示,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,车辆倒车影像卡滞,车辆倒车影像卡滞，经维修技师检查为全景后摄像头总成问题，需更换全景后摄像头总成。,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,车辆倒车影像绿屏,经检查全景后摄像头内部故障，导致倒车影像绿屏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,车辆的全景后摄像头内部有水雾，倒车时显示不清晰。,经检查，为全景后摄像头密封不严导致，需更换。,全景模糊
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,车辆的左外后视镜不折叠,经检查，为左外后视镜故障导致，需更换。,折叠问题
智能化,驾驶辅助,车道辅助系统问题,车道偏离控制器总成,车辆底部异响，故障灯亮,检查发现由于后悬置软垫，后悬置支架，左悬置软垫磨损松旷导致异响，车道偏离控制器短路导致故障,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,自适应巡航问题,前向毫米波雷达总成,车辆防碰撞预警功能失效,经检查为前向毫米波雷达总成内部故障所导致车辆防碰撞预警功能失效,ACC/AEB/LKA失效
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,车辆故障灯，巡航故障.不能使用,经技师检查为自适应巡航控制器总成零件自身质量问题导致故障,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,车辆挂入R档后倒车影像出现黑屏故障现象。,全景后摄像头内部电路故障导致挂入R档后倒车影像补显示。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,车辆后360绿屏,经维修技师检查后发现是全景前摄像头故障,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,车辆后摄像头不工作,经维修技师检查车辆后摄像头内部故障，需要更换,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,车辆后摄像头不清楚，发动机异响,经检查，确定为车辆后摄像头故障，进气相位器故障。,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,倒车摄像头总成,车辆后摄像头模糊,经技师诊断车辆出现内部故障,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,车辆后摄像头模糊，倒车模糊,后摄像头故障,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,云台摄像头总成,车辆进店检查，车辆自带的车顶端的摄像头不能转动角度,经检查确定是云台摄像头总成问题,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,车辆进店检查后摄像头绿屏，无影像。,经检查是全景后摄像头总成内部短路导致，属于配件本身质量问题，更换配件。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,车辆进店检查后摄像头模糊。,经检查是全景前摄像头总成内部密封不良导致摄像头模糊，属于配件本身质量问题，更换配件。,全景进水
